city,Nb vehicules,Nb vehicules elec,lat,lng,Indice critair,score ecosocial
jonage,4953,26,45.7964,5.0467,0.49792062224174805,82.58333333333334
la seyne sur mer,41958,96,43.1,5.883,0.4970303507769822,48.41666666666667
ivry sur seine,22812,98,48.8078,2.3747,0.4967112352283305,40.41666666666667
villemomble,13434,44,48.8833,2.5,0.49658891385898984,58.16666666666667
lille,102230,913,50.6278,3.0583,0.4962820796978744,37.416666666666664
le puy ste reparade,4062,24,43.6633,5.4372,0.4958690710452185,66.25
castelginest,7072,32,43.6936,1.4328,0.49557556288390003,70.58333333333334
irigny,6254,26,45.6731,4.8225,0.49546198361130367,70.91666666666667
dompierre sur mer,4524,25,46.1878,-1.065,0.4953828814058281,78.5
st jean bonnefonds,5355,31,45.4511,4.4464,0.4953214154140695,73.41666666666667
fuveau,7756,40,43.4522,5.5617,0.4952724916625386,78.25
st martin le vinoux,3565,22,45.2031,5.7164,0.495195476941825,59.25
paray vieille poste,5003,18,48.7081,2.3628,0.4937723822744977,68.91666666666667
corbas,9306,50,45.6681,4.9019,0.49348933949578866,73.41666666666666
grenoble,71958,702,45.1715,5.7224,0.4929670495980836,50.0
jacou,4582,30,43.6608,3.9103,0.4923758376832228,70.58333333333334
wervicq sud,3204,10,50.7722,3.0478,0.4919569832784467,64.33333333333333
peypin,4602,26,43.3858,5.5783,0.49165536619057226,77.0
lambesc,7048,30,43.6539,5.2619,0.490774747093389,69.08333333333333
aussonne,5211,19,43.6839,1.3197,0.49037370828428184,74.66666666666667
aytre,7666,25,46.1342,-1.1144,0.48887022292320736,57.83333333333333
toulouse,249713,1359,43.6045,1.444,0.4888511795786008,48.33333333333333
vernaison,3063,9,45.6478,4.8114,0.4886090551960436,70.25
toulon,93141,301,43.1258,5.9306,0.4878759132209578,47.583333333333336
aucamville,6217,18,43.6686,1.4306,0.4873603497022181,66.16666666666666
auriol,8922,40,43.3694,5.6314,0.48723600881394225,73.41666666666667
beauzelle,4669,22,43.6653,1.3775,0.4869375114046459,68.33333333333334
fenouillet,4922,17,43.6797,1.3939,0.48677672547129003,60.75
eyguieres,5674,25,43.6953,5.0311,0.4851910259191663,69.91666666666666
la queue en brie,6834,20,48.7894,2.5767,0.4848591238243207,71.16666666666666
le kremlin bicetre,7325,27,48.81,2.3581,0.484732568843127,57.16666666666667
prades le lez,4133,22,43.6989,3.8647,0.48446325203126017,74.91666666666666
notre dame de bondeville,4088,15,49.4883,1.0483,0.4825422186743844,58.333333333333336
bruguieres,4677,25,43.7242,1.4114,0.48154638002979366,74.66666666666667
viry chatillon,18891,103,48.6713,2.375,0.4806259736839875,54.41666666666666
vif,6311,23,45.0553,5.67,0.47938308457826206,77.33333333333334
st zacharie,3945,18,43.3842,5.7067,0.47811261751943546,71.33333333333334
neuville sur saone,4559,20,45.8761,4.8411,0.4779260223615527,58.75
st nicolas,2442,13,50.3028,2.7772,0.47749709898670023,44.16666666666667
angoulins,3021,13,46.1042,-1.11,0.4774385275444355,70.33333333333334
salon de provence,30282,103,43.6406,5.0972,0.47699206516130355,53.75
mours st eusebe,2604,5,45.0714,5.0514,0.47474665278233275,79.58333333333334
laneuveville devant nancy,3999,4,48.6553,6.2314,0.474736757954076,61.5
villejuif,20201,67,48.7919,2.3636,0.47464111007014154,48.41666666666667
